estimand_type	estimand	design_id	design	functional	local_state	method	quantity	point_estimate	ci_low	ci_high	estimate_ci	boot_se	n_boot_nonmissing	ci_type
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	Tensor	Delta_h	0.023996	-0.039431	0.087423	0.0240 [-0.0394, 0.0874]	0.032361	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	Matrix	Delta_h_matrix	-0.01086	-0.078011	0.056291	-0.0109 [-0.0780, 0.0563]	0.034261	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	Tensor	C_Delta_h	-0.116531	-0.429326	0.196264	-0.1165 [-0.4293, 0.1963]	0.159589	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	Matrix	C_Delta_h_matrix	-0.030498	-1.493485	1.432489	-0.0305 [-1.4935, 1.4325]	0.746422	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	Tensor	C_Delta_h	-0.018197	-0.895328	0.858934	-0.0182 [-0.8953, 0.8589]	0.447516	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	Matrix	C_Delta_h_matrix	0.006308	-2.916333	2.928949	0.0063 [-2.9163, 2.9289]	1.491144	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	Tensor	C_Delta_h	-0.635895	-1.794224	0.522434	-0.6359 [-1.7942, 0.5224]	0.590984	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	Matrix	C_Delta_h_matrix	0.079041	-3.437372	3.595454	0.0790 [-3.4374, 3.5955]	1.794088	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	Tensor	C_Delta_h	0.082278	-0.824929	0.989485	0.0823 [-0.8249, 0.9895]	0.462861	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	Matrix	C_Delta_h_matrix	0.152435	-3.225368	3.530238	0.1524 [-3.2254, 3.5302]	1.723369	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	Tensor	C_Delta_h	-0.066326	-0.216768	0.084116	-0.0663 [-0.2168, 0.0841]	0.076756	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	Matrix	C_Delta_h_matrix	0.008099	-0.584032	0.60023	0.0081 [-0.5840, 0.6002]	0.302108	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Tensor	C_Delta_h	-0.004457	-0.033393	0.024479	-0.0045 [-0.0334, 0.0245]	0.014763	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Matrix	C_Delta_h_matrix	-0.009206	-0.041027	0.022615	-0.0092 [-0.0410, 0.0226]	0.016235	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Tensor	C_Delta_h	-0.088602	-0.236747	0.059543	-0.0886 [-0.2367, 0.0595]	0.075584	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Matrix	C_Delta_h_matrix	-0.024513	-0.433947	0.384921	-0.0245 [-0.4339, 0.3849]	0.208895	500	bootstrap_se_centered
